cord1 cord2 cord3 cord4 cord5 cord6 cord7 cord8 cord9 cord10 cord11 cord12 cord13 cord14 age edu alive middle poor work
136 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 42 4 2 0 1 1
137 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 37 0 2 0 1 1
138 1 2 1 NA NA NA NA NA NA NA NA NA NA NA 20 0 3 0 1 1
139 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 20 0 2 0 1 1
140 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 28 0 3 1 0 1
141 2 2 1 1 NA NA NA NA NA NA NA NA NA NA 28 0 4 1 0 0
142 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 26 0 3 0 1 1
143 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 43 0 2 0 1 1
144 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 22 5 2 0 1 0
145 1 2 2 NA NA NA NA NA NA NA NA NA NA NA 34 0 3 0 1 1
146 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 22 4 2 0 1 0
147 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 22 0 2 0 1 1
148 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 29 3 2 1 0 1
149 1 2 2 2 NA NA NA NA NA NA NA NA NA NA 29 6 4 1 0 1
150 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 37 0 2 0 1 1
151 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 26 0 2 1 0 1
152 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 31 0 3 1 0 0
153 2 2 2 2 2 NA NA NA NA NA NA NA NA NA 38 0 5 0 1 1
154 2 2 1 1 NA NA NA NA NA NA NA NA NA NA 36 4 4 0 1 1
155 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 28 0 2 0 1 1
156 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 32 7 2 0 1 1
157 2 2 1 NA NA NA NA NA NA NA NA NA NA NA 38 0 3 1 0 1
158 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 21 0 2 1 0 1
159 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 28 0 1 0 1 1
160 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 28 0 3 0 1 1
161 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 42 0 3 0 1 1
162 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 18 3 1 0 1 1
163 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 48 0 2 1 0 1
164 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 31 0 2 0 1 1
165 1 2 2 2 NA NA NA NA NA NA NA NA NA NA 40 0 4 1 0 1
166 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 28 0 2 0 1 0
167 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 34 0 3 0 1 1
168 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 35 0 3 1 0 1
169 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 44 0 3 0 1 1
170 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 27 0 2 1 0 1
171 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 22 0 1 1 0 1
172 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 33 0 3 0 1 1
173 2 2 1 1 NA NA NA NA NA NA NA NA NA NA 42 0 4 1 0 1
174 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 23 7 2 1 0 1
175 1 1 1 1 NA NA NA NA NA NA NA NA NA NA 46 0 4 0 1 1
176 2 2 1 1 NA NA NA NA NA NA NA NA NA NA 38 0 4 0 1 1
177 2 2 2 1 NA NA NA NA NA NA NA NA NA NA 26 11 4 0 1 1
178 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 40 0 2 0 1 1
179 1 2 1 2 1 NA NA NA NA NA NA NA NA NA 41 0 5 0 1 1
180 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 33 6 2 1 0 1
181 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 34 0 3 1 0 0
182 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 36 11 2 1 0 0
183 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 36 9 2 1 0 0
184 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 23 12 2 1 0 0
185 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 25 0 2 0 1 1
186 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 40 10 3 1 0 0
187 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 26 0 1 0 1 1
188 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 24 0 2 1 0 1
189 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 42 2 3 1 0 0
190 2 1 1 2 NA NA NA NA NA NA NA NA NA NA 41 0 4 1 0 1
191 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 37 0 1 1 0 1
192 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 20 0 2 0 1 0
193 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 39 7 3 1 0 0
194 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 40 0 2 1 0 1
195 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 29 0 2 1 0 1
196 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 32 0 3 1 0 1
197 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 26 11 2 1 0 1
198 1 2 2 NA NA NA NA NA NA NA NA NA NA NA 27 0 3 0 1 1
199 2 1 1 1 NA NA NA NA NA NA NA NA NA NA 48 0 4 0 1 1
200 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 25 2 2 1 0 1
201 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 27 3 3 1 0 1
202 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 30 5 3 1 0 0
203 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 27 9 2 1 0 0
204 2 2 1 NA NA NA NA NA NA NA NA NA NA NA 43 0 3 0 1 1
205 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 29 10 3 1 0 0
206 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 46 10 1 1 0 0
207 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 29 7 2 1 0 0
208 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 28 5 1 1 0 0
209 2 2 1 2 NA NA NA NA NA NA NA NA NA NA 31 0 4 1 0 1
210 2 2 1 NA NA NA NA NA NA NA NA NA NA NA 28 0 3 0 1 1
211 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 28 0 3 0 1 1
212 1 2 2 NA NA NA NA NA NA NA NA NA NA NA 24 0 3 0 1 1
213 1 2 1 NA NA NA NA NA NA NA NA NA NA NA 28 0 3 0 1 1
214 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 34 5 3 1 0 0
215 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 34 0 3 0 1 1
216 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 45 0 1 0 1 1
217 1 2 1 NA NA NA NA NA NA NA NA NA NA NA 28 0 3 0 1 1
218 2 2 1 2 2 NA NA NA NA NA NA NA NA NA 40 0 5 1 0 1
219 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 28 6 2 1 0 0
220 1 2 2 NA NA NA NA NA NA NA NA NA NA NA 39 0 3 1 0 0
221 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 25 0 2 1 0 1
222 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 39 0 2 0 1 1
223 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 43 0 3 0 1 1
224 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 25 0 2 1 0 1
225 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 36 6 2 1 0 0
226 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 25 8 2 1 0 0
227 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 31 7 2 1 0 0
228 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 37 4 2 1 0 0
229 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 31 9 2 1 0 1
230 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 29 6 2 1 0 0
231 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 32 7 2 1 0 0
232 1 1 2 1 NA NA NA NA NA NA NA NA NA NA 45 0 4 0 1 0
233 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 47 9 2 1 0 0
234 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 21 8 2 1 0 0
235 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 40 9 1 1 0 1
236 1 2 1 NA NA NA NA NA NA NA NA NA NA NA 35 0 3 0 1 1
237 2 2 1 2 NA NA NA NA NA NA NA NA NA NA 32 0 4 0 1 1
238 2 2 2 NA NA NA NA NA NA NA NA NA NA NA 22 0 3 0 1 1
239 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 23 5 2 0 1 0
240 2 2 2 1 2 NA NA NA NA NA NA NA NA NA 35 3 5 0 1 0
241 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 38 5 2 1 0 0
242 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 29 0 2 0 1 0
243 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 25 0 2 1 0 0
244 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 29 3 2 1 0 0
245 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 32 5 2 1 0 0
246 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 25 1 2 1 0 0
247 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 33 0 2 1 0 0
248 1 2 2 NA NA NA NA NA NA NA NA NA NA NA 35 0 3 0 1 1
249 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 37 0 2 1 0 0
250 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 31 0 2 1 0 0
251 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 42 5 1 1 0 0
252 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 32 9 2 1 0 0
253 1 2 1 1 2 NA NA NA NA NA NA NA NA NA 47 0 5 1 0 0
254 2 2 1 1 NA NA NA NA NA NA NA NA NA NA 29 5 4 1 0 0
255 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 28 0 2 1 0 0
256 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 30 7 2 1 0 1
257 1 2 2 NA NA NA NA NA NA NA NA NA NA NA 48 5 3 1 0 0
258 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 23 8 2 1 0 0
259 1 1 1 2 NA NA NA NA NA NA NA NA NA NA 40 5 4 1 0 0
260 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 21 9 2 1 0 0
261 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 21 6 2 1 0 0
262 2 2 1 NA NA NA NA NA NA NA NA NA NA NA 23 0 3 1 0 0
263 1 2 2 NA NA NA NA NA NA NA NA NA NA NA 43 0 3 1 0 0
264 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 27 3 1 1 0 0
265 2 2 1 NA NA NA NA NA NA NA NA NA NA NA 28 4 3 0 1 1
266 1 2 1 NA NA NA NA NA NA NA NA NA NA NA 31 2 3 1 0 1
267 1 1 1 2 NA NA NA NA NA NA NA NA NA NA 31 3 4 1 0 1
268 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 27 0 2 0 1 1
269 2 2 2 NA NA NA NA NA NA NA NA NA NA NA 33 0 3 1 0 1
270 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 27 0 2 1 0 1
271 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 26 0 2 1 0 1
272 2 2 1 NA NA NA NA NA NA NA NA NA NA NA 31 0 3 1 0 1
273 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 24 5 2 1 0 0
274 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 21 0 2 0 1 1
275 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 34 0 2 1 0 1
276 2 2 2 NA NA NA NA NA NA NA NA NA NA NA 26 9 3 1 0 0
277 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 36 0 3 1 0 0
278 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 26 0 2 1 0 1
279 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 36 9 2 1 0 1
280 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 39 0 2 1 0 1
281 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 32 0 2 0 1 1
282 1 2 2 NA NA NA NA NA NA NA NA NA NA NA 31 0 3 1 0 1
283 2 2 2 1 NA NA NA NA NA NA NA NA NA NA 35 2 4 1 0 1
284 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 20 7 2 1 0 0
285 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 24 0 2 0 1 0
286 2 2 2 NA NA NA NA NA NA NA NA NA NA NA 25 0 3 0 1 0
287 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 40 6 2 1 0 0
288 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 24 0 2 1 0 1
289 2 1 2 2 NA NA NA NA NA NA NA NA NA NA 36 0 4 1 0 1
290 2 2 2 2 1 NA NA NA NA NA NA NA NA NA 29 0 5 0 1 1
291 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 25 0 2 1 0 1
292 2 1 2 2 2 NA NA NA NA NA NA NA NA NA 37 0 5 1 0 1
293 1 2 2 NA NA NA NA NA NA NA NA NA NA NA 28 1 3 0 1 1
294 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 25 6 2 1 0 1
295 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 22 10 2 1 0 1
296 1 1 1 2 NA NA NA NA NA NA NA NA NA NA 24 5 4 1 0 0
297 2 1 1 1 NA NA NA NA NA NA NA NA NA NA 45 5 4 1 0 1
298 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 22 1 2 1 0 0
299 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 33 0 2 1 0 1
300 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 21 4 2 1 0 1
301 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 28 0 1 1 0 1
302 1 1 1 NA NA NA NA NA NA NA NA NA NA NA 26 12 3 1 0 1
303 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 43 4 2 1 0 1
304 2 2 2 1 NA NA NA NA NA NA NA NA NA NA 35 0 4 1 0 1
305 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 45 0 3 1 0 1
306 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 22 8 2 1 0 0
307 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 21 6 2 1 0 0
308 1 2 1 NA NA NA NA NA NA NA NA NA NA NA 45 0 3 1 0 0
309 2 1 NA NA NA NA NA NA NA NA NA NA NA NA 26 10 2 1 0 1
310 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 19 6 2 1 0 0
311 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 30 3 2 1 0 1
312 2 2 2 2 2 NA NA NA NA NA NA NA NA NA 45 0 5 1 0 0
313 1 2 1 NA NA NA NA NA NA NA NA NA NA NA 41 3 3 1 0 1
314 1 1 NA NA NA NA NA NA NA NA NA NA NA NA 20 6 2 1 0 1
315 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 26 2 2 1 0 1
316 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 29 0 2 0 1 1
317 1 2 1 NA NA NA NA NA NA NA NA NA NA NA 34 0 3 1 0 1
318 1 2 1 NA NA NA NA NA NA NA NA NA NA NA 48 0 3 0 1 1
319 2 2 1 NA NA NA NA NA NA NA NA NA NA NA 22 0 3 0 1 1
320 1 1 1 2 NA NA NA NA NA NA NA NA NA NA 48 3 4 1 0 0
321 1 1 2 NA NA NA NA NA NA NA NA NA NA NA 38 0 3 1 0 1
322 2 1 1 NA NA NA NA NA NA NA NA NA NA NA 42 0 3 0 1 1
