"ID","Name","City","Auth","Dec","Roll"
2887,"Levin Intermediate","Levin","State",2,332
2888,"Levin North School","Levin","State",3,333
2889,"Levin School","Levin","State",1,156
3032,"Taitoko School","Levin","State",1,154
2939,"Otaki School","Otaki","State",3,194
3020,"St Peter Chanel School (Otaki)","Otaki","State Integrated",3,62
3065,"Waitohu School","Otaki","State",4,247
236,"Horowhenua College","Levin","State",3,723
3008,"St Joseph's School (Levin)","Levin","State Integrated",2,156
237,"Waiopehu College","Levin","State",2,605
240,"Otaki College","Otaki","State",4,569
4211,"TKKM o Te Rito","Otaki","State",3,67
3101,"Te Kura-a-iwi o Whakatupuranga Rua Mano","Otaki","State",3,75
2933,"Ohau School","Levin","State",6,249
2965,"Poroutawhao School","Levin","State",5,116
2896,"Manakau School","Levin","State",5,36
2882,"Koputaroa School","Horowhenua District","State",6,183
3038,"Te Horo School (Otaki)","Kapiti Coast District","State",9,117
2906,"Martinborough School","Martinborough","State",7,162
2850,"Greytown School","Greytown","State",6,314
249,"Kuranui College","Greytown","State",5,446
528,"Ponatahi Christian School","Carterton","State Integrated",7,77
2992,"South End School","Carterton","State",5,90
3013,"St Mary's School (Carterton)","Carterton","State Integrated",6,89
2840,"Featherston School","South Wairarapa","State",3,117
3023,"St Teresa's School (Featherston)","Featherston","State Integrated",5,113
2820,"Carterton School","Carterton","State",4,322
2831,"Dalefield School","Carterton District","State",5,53
2868,"Kahutara School","South Wairarapa Distirct","State",7,73
2993,"South Featherston School","South Wairarapa District","State",5,65
2958,"Pirinoa School","South Wairarapa District","State",6,33
3052,"Tuturumuri School","South Wairarapa District","State",7,25
4104,"Hadlow Preparatory School","Masterton","State Integrated",8,195
239,"Homeleigh Christian School","Masterton","Private",NA,7
2991,"Solway School","Masterton","State",6,210
246,"St Matthew's Collegiate (Masterton)","Masterton","State Integrated",9,331
1651,"TKKM o Wairarapa","Masterton","State",2,102
244,"Chanel College","Masterton","State Integrated",5,383
1661,"Douglas Park School","Masterton","State",4,343
1659,"Lakeview School","Masterton","State",2,468
243,"Makoura College","Masterton","State",3,273
2909,"Masterton Intermediate","Masterton","State",5,382
242,"Solway College","Masterton","State Integrated",8,129
241,"Wairarapa College","Masterton","State",6,1134
2750,"Wairarapa Teen Parent Unit","Masterton","State",1,25
1660,"Masterton Primary School","Masterton","State",3,253
3016,"St Patrick's School (Masterton)","Masterton","State Integrated",5,231
2936,"Opaki School","Masterton","State",10,162
245,"Rathkeale College","Masterton","State Integrated",9,277
3070,"Whareama School","Masterton District","State",10,29
2911,"Mauriceville School","Masterton District","State",5,25
2845,"Gladstone School (Masterton)","Carterton District","State",7,136
2843,"Fernridge School","Masterton District","State",4,162
